trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.97}",30,0,-69.09239176874125,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9409}",20,0,-49.26659029973053,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.912673}",20,0,-196.31049622406883,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.2, 'e': 0.8852928099999999}",35,0,-127.10065521257725,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.8587340256999999}",30,8,-9.802687243026188,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.2, 'e': 0.8329720049289999}",25,17,-4.411170881507433,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.8079828447811299}",25,0,-153.07113715957215,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.783743359437696}",20,0,-109.09462119402811,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.7602310586545651}",25,0,-114.10067960196237,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.7374241268949281}",20,13,-8.62757780601525,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.7153014030880802}",25,0,-51.125523352747784,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.6938423609954378}",25,0,-104.6546952328122,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.6730270901655747}",30,0,-139.03827176140956,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.6528362774606075}",20,1,-20.408785956698374,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.6332511891367892}",35,9,-88.3997164832925,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.2, 'e': 0.6142536534626856}",25,15,5.923504321927192,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.595826043858805}",20,0,-65.09962513801824,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.5779512625430409}",20,0,-84.59841659328701,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.5606127246667496}",30,0,-23.198387166067707,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.5437943429267471}",25,13,-22.86384225603088,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.2, 'e': 0.5274805126389447}",20,3,5.920190321381502,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.5116560972597763}",25,7,-39.0875522248518,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.2, 'e': 0.496306414341983}",25,4,-52.32648721136289,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.2, 'e': 0.48141722191172354}",25,13,10.354464679681863,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
